"SYMBOL","Model"
"Rxrg","RXRG_MOUSE.H11MO.1.B"
"Nr1h4","NR1H4_MOUSE.H11MO.0.A"
"Nr1h4","NR1H4_MOUSE.H11MO.1.A"
"Prrx2","PRRX2_MOUSE.H11MO.0.C"
"Foxp3","FOXP3_MOUSE.H11MO.0.D"
"Spi1","SPI1_MOUSE.H11MO.0.A"
"Six2","SIX2_MOUSE.H11MO.0.A"
"Six4","SIX4_MOUSE.H11MO.0.C"
"Snai2","SNAI2_MOUSE.H11MO.0.A"
"Hltf","HLTF_MOUSE.H11MO.0.D"
"Snai1","SNAI1_MOUSE.H11MO.0.C"
"Sox10","SOX10_MOUSE.H11MO.0.B"
"Sox10","SOX10_MOUSE.H11MO.1.A"
"Sox13","SOX13_MOUSE.H11MO.0.D"
"Sox15","SOX15_MOUSE.H11MO.0.D"
"Sox17","SOX17_MOUSE.H11MO.0.D"
"Sox18","SOX18_MOUSE.H11MO.0.D"
"Sox2","SOX2_MOUSE.H11MO.0.A"
"Sox2","SOX2_MOUSE.H11MO.1.A"
"Sox3","SOX3_MOUSE.H11MO.0.C"
"Sox4","SOX4_MOUSE.H11MO.0.A"
"Sox5","SOX5_MOUSE.H11MO.0.C"
"Sox9","SOX9_MOUSE.H11MO.0.A"
"Sox9","SOX9_MOUSE.H11MO.1.A"
"Sp1","SP1_MOUSE.H11MO.0.A"
"Sp1","SP1_MOUSE.H11MO.1.A"
"Sp3","SP3_MOUSE.H11MO.0.B"
"Sp4","SP4_MOUSE.H11MO.0.B"
"Sp4","SP4_MOUSE.H11MO.1.B"
"Srebf1","SRBP1_MOUSE.H11MO.0.B"
"Srebf2","SRBP2_MOUSE.H11MO.0.B"
"Srf","SRF_MOUSE.H11MO.0.A"
"Zfp143","ZN143_MOUSE.H11MO.0.A"
"Stat1","STAT1_MOUSE.H11MO.0.A"
"Stat1","STAT1_MOUSE.H11MO.1.A"
"Stat2","STAT2_MOUSE.H11MO.0.A"
"Stat3","STAT3_MOUSE.H11MO.0.A"
"Stat4","STAT4_MOUSE.H11MO.0.A"
"Stat5a","STA5A_MOUSE.H11MO.0.A"
"Stat5b","STA5B_MOUSE.H11MO.0.A"
"Stat6","STAT6_MOUSE.H11MO.0.A"
"Bhlhe40","BHE40_MOUSE.H11MO.0.A"
"Tfe3","TFE3_MOUSE.H11MO.0.A"
"T","BRAC_MOUSE.H11MO.0.B"
"T","BRAC_MOUSE.H11MO.1.C"
"Prdm9","PRDM9_MOUSE.H11MO.0.C"
"Tal1","TAL1_MOUSE.H11MO.0.A"
"Tbp","TBP_MOUSE.H11MO.0.A"
"Tbx2","TBX2_MOUSE.H11MO.0.D"
"Tbx3","TBX3_MOUSE.H11MO.0.B"
"Tbx5","TBX5_MOUSE.H11MO.0.D"
"Hnf1a","HNF1A_MOUSE.H11MO.0.A"
"Tcf12","HTF4_MOUSE.H11MO.0.A"
"Hnf1b","HNF1B_MOUSE.H11MO.0.A"
"Hnf1b","HNF1B_MOUSE.H11MO.1.A"
"Tcf4","ITF2_MOUSE.H11MO.0.B"
"Tcf7","TCF7_MOUSE.H11MO.0.A"
"Tcf7l1","TF7L1_MOUSE.H11MO.0.A"
"Tcf7l2","TF7L2_MOUSE.H11MO.0.A"
"Zeb1","ZEB1_MOUSE.H11MO.0.B"
"Tfap2a","AP2A_MOUSE.H11MO.0.A"
"Tfap2b","AP2B_MOUSE.H11MO.0.B"
"Tfap2c","AP2C_MOUSE.H11MO.0.A"
"Tfcp2","TFCP2_MOUSE.H11MO.0.D"
"Tcf3","TFE2_MOUSE.H11MO.0.A"
